# OBER — OLX kategoriyalari (avtomatik topilgan)
# Qo'lda tahrirlamang: kategoriya_top.py qayta yozadi.
# Jami: 802

transport/avtobusy|Transport / Avtobuslar
moda-i-stil/odezhda/zhenskoe-bele-kupalniki/women_socks_tights_and_stockings|Moda va stil / Kiyim-kechak / Ayollar ich kiyimi / Paypoq, kolgotka, choklar
moda-i-stil/odezhda/zhenskoe-bele-kupalniki/women_swimwear|Moda va stil / Kiyim-kechak / Ayollar ich kiyimi / Suzish kiyimlari
moda-i-stil/podarki|Moda va stil / Sovg'alar
detskiy-mir/detskaya-mebel/bumpers_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Karavot panellari
detskiy-mir/detskaya-mebel/closets_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar shkaflari
detskiy-mir/detskaya-mebel/complect_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar mebel to‘plamlari
detskiy-mir/detskaya-mebel/cradles_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar karavotlari va beshiklar
detskiy-mir/detskaya-mebel/dressers_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar komodlari
detskiy-mir/detskaya-mebel/headsets_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar garniturlari
detskiy-mir/detskaya-mebel/lounge_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar shezlonglari
detskiy-mir/detskaya-mebel/manej_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar manejlari
detskiy-mir/detskaya-mebel/mattress_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar matraslari
detskiy-mir/detskaya-mebel/others_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Boshqa
detskiy-mir/detskaya-mebel/seats_chairs_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar stullari va stollari
detskiy-mir/detskaya-mebel/seats_kids_furniture|Bolalar dunyosi / Bolalar mebeli / Bolalar kreslolari
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/boots_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Etiklar va botinkalar
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/home_shoes_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Uy oyoq kiyimi
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/other_shoes_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Boshqa
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/sandals_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Sandallar va shippaklar
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/shoes_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Tuflilar va bosonojkalar
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/sneakers_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Krossovkalar va kedlar
detskiy-mir/detskaya-obuv/obuv-dlya-devochek/sport_shoes_kids_girls|Bolalar dunyosi / Bolalar oyoq kiyimi / Qizchalar uchun poyafzal / Sport oyoq kiyimi
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/boots_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Etiklar
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/home_shoes_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Uy oyoq kiyimi
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/other_shoes_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Boshqa
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/sandals_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Sandallar va shippaklar
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/shoes_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Botinkalar va tuflilar
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/sneakers_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Krossovkalar va kedlar
detskiy-mir/detskaya-obuv/obuv-dlya-malchikov/sport_shoes_kids_boys|Bolalar dunyosi / Bolalar oyoq kiyimi / O’g‘il bolalar uchun poyafzal / Sport oyoq kiyimi
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/boots_kids_baby|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Etiklar
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/others_kids_baby_shoes|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Boshqa
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/pinets_kids_baby|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Krossovkalar va kedlar
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/sandals_kids_baby|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Sandallar va shippaklar
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/shoes_kids_baby|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Botinkalar
detskiy-mir/detskaya-obuv/obuv-dlya-malyshey/sneakers_kids_baby_shoes|Bolalar dunyosi / Bolalar oyoq kiyimi / Kichkintoylar uchun poyafzal / Krossovka va kedalar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/accessories_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Aksessuarlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/beachwear_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Plyaj kiyimlari
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/blouses_and_shirts_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Bluzkalar va ko‘ylaklar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/dresses_and_trousers_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Ko‘ylaklar va yubkalar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/jackets_and_suits_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Pidjaklar va kostyumlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/jumpsuit_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Kombinezonlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/other_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Boshqa
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/outerwear_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Ustki kiyim
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/sweaters_and_hoodies_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Sviterlar va tolstovkalar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/t-shirts_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Futbolkalar va toplar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/trousers_and_shortskids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Shim va shortiklar
detskiy-mir/detskaya-odezhda/odezhda-dlya-devochek/underwear_and_home_clothes_kids_girls|Bolalar dunyosi / Bolalar kiyimi / Qizlar uchun kiyim-kechak / Ichki kiyim va uy kiyimi
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/accessories|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Aksessuarlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/beachwear|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Plyaj kiyimlari
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/jackets_and_suits|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Pidjaklar va kostyumlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/jumpsuit|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Kombinezonlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/linen_and_home_clothes|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Ichki kiyim va uy kiyimi
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/other|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Boshqa
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/outerwear|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Ustki kiyim
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/shirts|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Ko‘ylaklar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/sweaters_and_hoodies|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Sviterlar va tolstovkalar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/t-shirts|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Futbolkalar va maykalar
detskiy-mir/detskaya-odezhda/odezhda-dlya-malchikov/trousers_and_shorts|Bolalar dunyosi / Bolalar kiyimi / O'g'il bolalar kiyimi / Shim va shortiklar
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/accessories_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Aksessuarlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/boots_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Etiklar
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/envelope_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Chiqish konverti
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/jumpsuit_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Kombinezonlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/other_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Boshqa
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/outerwear_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Ustki kiyim
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/sets_kids_newborns|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Komplektlar
detskiy-mir/detskaya-odezhda/odezhda-dlya-novorozhdennyh/slips_and_bodysuits|Bolalar dunyosi / Bolalar kiyimi / Chaqaloqlar kiyimi / Sliplar va bodilar
detskiy-mir/detskie-avtokresla|Bolalar dunyosi / Bolalar avtoo'rindiqlari
detskiy-mir/detskie-kolyaski/accessories_strollers|Bolalar dunyosi / Bolalar kolyaskalari / Aksessuarlar va butlovchi qismlar
detskiy-mir/detskie-kolyaski/basinnet_strollers|Bolalar dunyosi / Bolalar kolyaskalari / Beshik kolyaskalar
detskiy-mir/detskie-kolyaski/simple_strollers|Bolalar dunyosi / Bolalar kolyaskalari / Oddiy kolyaskalar
detskiy-mir/detskie-kolyaski/transformer_strollers|Bolalar dunyosi / Bolalar kolyaskalari / Transformerlashadigan kolyaskalar
detskiy-mir/detskie-kolyaski/twin_strollers|Bolalar dunyosi / Bolalar kolyaskalari / Egizaklar uchun kolyaskalar
detskiy-mir/detskiy-transport/bicycles_children|Bolalar dunyosi / Bolalar transporti / Bolalar velosipedlari va yugurish velosipedlari
detskiy-mir/detskiy-transport/electro_children|Bolalar dunyosi / Bolalar transporti / Bolalar elektromobillari
detskiy-mir/detskiy-transport/others_children_transport|Bolalar dunyosi / Bolalar transporti / Boshqa
detskiy-mir/detskiy-transport/parts_children|Bolalar dunyosi / Bolalar transporti / Ehtiyot qismlar va aksessuarlar
detskiy-mir/detskiy-transport/rollers_children|Bolalar dunyosi / Bolalar transporti / Bolalar roliklari
detskiy-mir/detskiy-transport/scooters_children|Bolalar dunyosi / Bolalar transporti / Bolalar samokatlari
detskiy-mir/detskiy-transport/walkers_children|Bolalar dunyosi / Bolalar transporti / Bolalar yuritkichlari
detskiy-mir/igrushki/barbie_accessories_toys|Bolalar dunyosi / O'yinchoqlar / Qo‘g‘irchoqlar va aksessuarlar
detskiy-mir/igrushki/cars_toys|Bolalar dunyosi / O'yinchoqlar / Mashinalar va texnika
detskiy-mir/igrushki/constructors_toys|Bolalar dunyosi / O'yinchoqlar / Konstruktorlar
detskiy-mir/igrushki/creator_toys|Bolalar dunyosi / O'yinchoqlar / Ijodiy mahsulotlar
detskiy-mir/igrushki/developing_toys|Bolalar dunyosi / O'yinchoqlar / Chaqaloqlar uchun rivojlantiruvchi o‘yinchoqlar
detskiy-mir/igrushki/figures_toys|Bolalar dunyosi / O'yinchoqlar / O‘yinchoq figuralar
detskiy-mir/igrushki/others_toys|Bolalar dunyosi / O'yinchoqlar / Boshqa
detskiy-mir/igrushki/puzzles_toys|Bolalar dunyosi / O'yinchoqlar / Pazzllar va boshqotirmalar
detskiy-mir/igrushki/rattles_toys|Bolalar dunyosi / O'yinchoqlar / Qo‘ng‘iroqchalar va tish chiqarish o‘yinchoqlari
detskiy-mir/igrushki/robots_toys|Bolalar dunyosi / O'yinchoqlar / Robotlar va transformatorlar
detskiy-mir/igrushki/soft_toys|Bolalar dunyosi / O'yinchoqlar / Yumshoq o‘yinchoqlar
detskiy-mir/igrushki/table_toys|Bolalar dunyosi / O'yinchoqlar / Stol o‘yinlari
detskiy-mir/igrushki/weapons_toys|Bolalar dunyosi / O'yinchoqlar / O‘yinchoq qurollar
detskiy-mir/kormlenie/baby_bottles_and_nipples|Bolalar dunyosi / Oziqlantirish / Bolalar butilkalar va so‘rg‘ichlar
detskiy-mir/kormlenie/baby_food|Bolalar dunyosi / Oziqlantirish / Bolalar ovqatlari
detskiy-mir/kormlenie/bottle_warmer_sterilizer|Bolalar dunyosi / Oziqlantirish / Butilka isitgichlari va sterilizator
detskiy-mir/kormlenie/breast_pumps|Bolalar dunyosi / Oziqlantirish / Sut sog‘ish moslamalari
detskiy-mir/kormlenie/kids_tableware|Bolalar dunyosi / Oziqlantirish / Bolalar idish-tovoqlari
detskiy-mir/kormlenie/kids_vitamins|Bolalar dunyosi / Oziqlantirish / Bolalar vitaminlari
detskiy-mir/kormlenie/others_children_feeding|Bolalar dunyosi / Oziqlantirish / Boshqa
detskiy-mir/prochie-detskie-tovary|Bolalar dunyosi / Boshqa bolalar mahsulotlari
detskiy-mir/tovary-dlya-shkolnikov/drawing_supplies|Bolalar dunyosi / Maktab o'quvchilari uchun mahsulotlar / Chizmachilik anjomlari
detskiy-mir/tovary-dlya-shkolnikov/others_goods_for_school|Bolalar dunyosi / Maktab o'quvchilari uchun mahsulotlar / Boshqa
detskiy-mir/tovary-dlya-shkolnikov/school_backpacks|Bolalar dunyosi / Maktab o'quvchilari uchun mahsulotlar / Maktab ryukzaklari
detskiy-mir/tovary-dlya-shkolnikov/school_stationery|Bolalar dunyosi / Maktab o'quvchilari uchun mahsulotlar / Maktab kanselyariyasi
detskiy-mir/tovary-dlya-shkolnikov/school_textbooks_and_study_guides|Bolalar dunyosi / Maktab o'quvchilari uchun mahsulotlar / Maktab darsliklari va o‘quv qo‘llanmalari
uslugi/avto-moto-uslugi/avtoelektrik|Xizmatlar / Avto-moto xizmatlar / Avto elektrik xizmatlari
uslugi/avto-moto-uslugi/avtomoyki-himchistki|Xizmatlar / Avto-moto xizmatlar / Avto moyka / detailing / ximchistka
uslugi/avto-moto-uslugi/drugoe|Xizmatlar / Avto-moto xizmatlar / Boshqa avto / moto xizmatlari
uslugi/avto-moto-uslugi/kuzovnoy-remont-malyarka|Xizmatlar / Avto-moto xizmatlar / Kuzov ta'mirlash / bo'yash ishlari
uslugi/avto-moto-uslugi/remont-avto|Xizmatlar / Avto-moto xizmatlar / Avtotamirlash
uslugi/avto-moto-uslugi/remont-moto-velo-elektrotransporta|Xizmatlar / Avto-moto xizmatlar / Mototsikl / velosiped / skuterlarni ta'mirlash
uslugi/bytovye-uslugi/drugoe|Xizmatlar / Maishiy xizmatlar / Boshqa maishiy xizmatlar
uslugi/bytovye-uslugi/izgotovlenie-klyuchey-vskrytie-zamkov|Xizmatlar / Maishiy xizmatlar / Kalit yasash / qulfni ochish
uslugi/bytovye-uslugi/master-na-chas|Xizmatlar / Maishiy xizmatlar / Universal usta
uslugi/bytovye-uslugi/poshiv-remont-odezhdy-obuvi|Xizmatlar / Maishiy xizmatlar / Tikuvchi / kiyim / poyabzal ta'mirlash
uslugi/bytovye-uslugi/remont-chasov|Xizmatlar / Maishiy xizmatlar / Soat ta'mirlash
uslugi/bytovye-uslugi/restavratsiya-razborka-sborka-mebeli|Xizmatlar / Maishiy xizmatlar / Mebelni yig'ish / mebelchi / mebelni tiklash
uslugi/delovye-uslugi/drugoe|Xizmatlar / Biznes uchun xizmatlari / Boshqa biznes xizmatlari
uslugi/delovye-uslugi/marketing|Xizmatlar / Biznes uchun xizmatlari / Marketing xizmatlari
uslugi/delovye-uslugi/naruzhnaya-reklama-vyveski|Xizmatlar / Biznes uchun xizmatlari / Tashqi reklama / banner
uslugi/delovye-uslugi/poligrafiya-dizayn-pechat|Xizmatlar / Biznes uchun xizmatlari / Poligrafiya / dizayn / taklifnoma
uslugi/delovye-uslugi/sozdanie-saytov-avtomatizatsiya|Xizmatlar / Biznes uchun xizmatlari / Veb-sayt yaratish / avtomatlashtirish
uslugi/dostavka-edy|Xizmatlar / Taomlar yetkazish
uslugi/finansovye-uslugi|Xizmatlar / Buxgalteriya / moliyaviy xizmatlar
uslugi/krasota-zdorove/drugoe|Xizmatlar / Go'zallik-salomatlik / Boshqa go'zallik xizmatlari
uslugi/krasota-zdorove/epilyatsiya-depilyatsiya|Xizmatlar / Go'zallik-salomatlik / Epilyatsiya / depilatsiya
uslugi/krasota-zdorove/meditsina-kosmetologiya|Xizmatlar / Go'zallik-salomatlik / Kosmetologiya / tibbiy xizmatlar
uslugi/krasota-zdorove/nogtevoy-servis|Xizmatlar / Go'zallik-salomatlik / Manikyur
uslugi/krasota-zdorove/parikmaher|Xizmatlar / Go'zallik-salomatlik / Sartarosh xizmatlari
uslugi/krasota-zdorove/psiholog|Xizmatlar / Go'zallik-salomatlik / Psixolog xizmatlari
uslugi/krasota-zdorove/sauny-bani-spa|Xizmatlar / Go'zallik-salomatlik / Saunalar / vannalar / SPA
uslugi/krasota-zdorove/stilist-vizazhist|Xizmatlar / Go'zallik-salomatlik / Stilist / vizajist xizmatlari
uslugi/krasota-zdorove/tatu-pirsing|Xizmatlar / Go'zallik-salomatlik / Tatuirovka / pirsing
uslugi/krasota-zdorove/uhod-brovi-resnitsy|Xizmatlar / Go'zallik-salomatlik / Qosh va kipriklarni parvarish qilish
uslugi/nyani-sidelki|Xizmatlar / Enaga / kasalga qarovchilar
uslugi/oborudovanie/drobilki-izmelchiteli|Xizmatlar / Uskunalarni sotish / Maydalagichlar
uslugi/oborudovanie/drugoe|Xizmatlar / Uskunalarni sotish / Boshqa uskunalar
uslugi/oborudovanie/generatory-transformatory|Xizmatlar / Uskunalarni sotish / Generatorlar va transformatorlar
uslugi/oborudovanie/kompressory|Xizmatlar / Uskunalarni sotish / Kompressorlar
uslugi/oborudovanie/medical_equipment/drugoe|Xizmatlar / Uskunalarni sotish / Tibbiy uskunalar / Boshqa tibbiy uskunalar
uslugi/oborudovanie/medical_equipment/electrophoresis|Xizmatlar / Uskunalarni sotish / Tibbiy uskunalar / Elektroforez va fizioterapiya uskunalari
uslugi/oborudovanie/medical_equipment/medical_beds|Xizmatlar / Uskunalarni sotish / Tibbiy uskunalar / Tibbiy krovatlar
uslugi/oborudovanie/medical_equipment/ultrasound_equipment|Xizmatlar / Uskunalarni sotish / Tibbiy uskunalar / Ultratovush uskunalari
uslugi/oborudovanie/pishchevoe-oborudovanie|Xizmatlar / Uskunalarni sotish / Oziq-ovqat uskunalari
uslugi/oborudovanie/stanki|Xizmatlar / Uskunalarni sotish / Stanoglar
uslugi/oborudovanie/stellazhi-vitriny|Xizmatlar / Uskunalarni sotish / Raflar va vitrinalar
uslugi/obrazovanie/avtoshkoly-avtoinstruktory|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Avtomaktab / avtoinstruktor
uslugi/obrazovanie/drugoe|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Boshqa ta'lim xizmatlari
uslugi/obrazovanie/it-kursy|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / IT kurslari
uslugi/obrazovanie/repetitory|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Repetitorlar
uslugi/obrazovanie/sportivnye-sektsii-tantsy|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Sport mashqlari / raqslar
uslugi/obrazovanie/uroki-muzyki|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Musiqa darslari
uslugi/obrazovanie/yazykovye-kursy|Xizmatlar / Ta'lim / kurslar / repetitorlik / sport / Chet tili kurslari
uslugi/obsluzhivanie-remont-tehniki/bytovaya-tehnika|Xizmatlar / Texnika xizmati / ta'mirlash / Maishiy texnika
uslugi/obsluzhivanie-remont-tehniki/foto-video-audio-tehnika|Xizmatlar / Texnika xizmati / ta'mirlash / Foto / video / audiotexnika
uslugi/obsluzhivanie-remont-tehniki/igrovye-pristavki|Xizmatlar / Texnika xizmati / ta'mirlash / O'yin konsollari
uslugi/obsluzhivanie-remont-tehniki/klimaticheskaya-tehnika|Xizmatlar / Texnika xizmati / ta'mirlash / Iqlim texnikasi ta’miri va o‘rnatish
uslugi/obsluzhivanie-remont-tehniki/kompyuternaya-tehnika-igrovye-pristavki|Xizmatlar / Texnika xizmati / ta'mirlash / Noutbuklar / kompyuter uskunalari
uslugi/obsluzhivanie-remont-tehniki/mobilnye-ustroystva-telefoniya|Xizmatlar / Texnika xizmati / ta'mirlash / Mobil telefonlar / planshetlar
uslugi/obsluzhivanie-remont-tehniki/postavka-remont-obsluzhivanie-oborudovaniya|Xizmatlar / Texnika xizmati / ta'mirlash / Boshqa texnikalarni ta'mirlash
uslugi/obsluzhivanie-remont-tehniki/remont-i-ustanovka-sputnikovogo-tv|Xizmatlar / Texnika xizmati / ta'mirlash / Yo‘ldosh TV ta’mirlash va o‘rnatish
uslugi/perevozki-arenda-transporta/drugoe|Xizmatlar / Tashishlar-transport ijarasi / Boshqa transport xizmatlari
uslugi/perevozki-arenda-transporta/evakuator|Xizmatlar / Tashishlar-transport ijarasi / Evakuator xizmatlari
uslugi/perevozki-arenda-transporta/gruzchiki|Xizmatlar / Tashishlar-transport ijarasi / Yuklagich xizmatlari
uslugi/perevozki-arenda-transporta/gruzoperevozki|Xizmatlar / Tashishlar-transport ijarasi / Yuk tashish xizmatlari
uslugi/perevozki-arenda-transporta/passazhirskie-perevozki|Xizmatlar / Tashishlar-transport ijarasi / Yo'lovchi tashish xizmatlari
uslugi/perevozki-arenda-transporta/prokat-avto|Xizmatlar / Tashishlar-transport ijarasi / Avto ijara / Rent car
uslugi/perevozki-arenda-transporta/prokat-spetstehniki|Xizmatlar / Tashishlar-transport ijarasi / Maxsus transport ijarasi
uslugi/perevozki-arenda-transporta/taksi-transfer|Xizmatlar / Tashishlar-transport ijarasi / Taksi / transfer
uslugi/perevozki-arenda-transporta/trezviy-voditel-peregon|Xizmatlar / Tashishlar-transport ijarasi / Peregon
uslugi/prochie-usligi|Xizmatlar / Boshqa xizmatlar
uslugi/prodazha-biznesa|Xizmatlar / Biznesni sotish
uslugi/prokat-tovarov/drugoe|Xizmatlar / Mahsulotlar prokati / Boshqa tovarlarni ijaraga olish
uslugi/prokat-tovarov/elektronika|Xizmatlar / Mahsulotlar prokati / Yuk tashish xizmatlari
uslugi/prokat-tovarov/instrument-oborudovaniye|Xizmatlar / Mahsulotlar prokati / Asboblar va uskunalar ijaraga olish
uslugi/prokat-tovarov/odezhda|Xizmatlar / Mahsulotlar prokati / Maxsus transport ijarasi
uslugi/prokat-tovarov/tovary-dlya-meropriyatiy|Xizmatlar / Mahsulotlar prokati / Tadbirlar uchun tovarlar ijarasi
uslugi/razvlechenie-foto-video/drugoe|Xizmatlar / Tadbirni tashkil etish / fotosurat / video / Tadbirlar uchun boshqa xizmatlar
uslugi/razvlechenie-foto-video/foto-video|Xizmatlar / Tadbirni tashkil etish / fotosurat / video / Foto / video xizmatlari
uslugi/razvlechenie-foto-video/kulinarnye-uslugi|Xizmatlar / Tadbirni tashkil etish / fotosurat / video / Keytering, oshpaz
uslugi/razvlechenie-foto-video/organizatsiya-meropriyatiy|Xizmatlar / Tadbirni tashkil etish / fotosurat / video / Tadbirni tashkil etish
uslugi/sportivnye-kompleksy|Xizmatlar / Sport majmuasi
uslugi/stroitelstvo-otdelka-remont/dizayn-arhitektura|Xizmatlar / Qurilish / ta'mirlash / usta / Dizayn, arxitektura
uslugi/stroitelstvo-otdelka-remont/drugoe|Xizmatlar / Qurilish / ta'mirlash / usta / Boshqa qurilish va ta'mirlash xizmatlari
uslugi/stroitelstvo-otdelka-remont/elektrika|Xizmatlar / Qurilish / ta'mirlash / usta / Elektrik xizmatlar
uslugi/stroitelstvo-otdelka-remont/gotovye-konstruktsii|Xizmatlar / Qurilish / ta'mirlash / usta / Tayyor qurilmalar
uslugi/stroitelstvo-otdelka-remont/okna-dveri-balkony|Xizmatlar / Qurilish / ta'mirlash / usta / Oyna va eshiklarni yasash
uslugi/stroitelstvo-otdelka-remont/otdelka-remont|Xizmatlar / Qurilish / ta'mirlash / usta / Pardozlash, ta'mirlash
uslugi/stroitelstvo-otdelka-remont/santehnika-kommunikatsii|Xizmatlar / Qurilish / ta'mirlash / usta / Santexnika-kommunikatsiyalar
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/almaznoe-burenie-rezka|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Olmosli burg'ulash/ beton kesish
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/asfaltirovanie|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Asfalt
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/drugoe_1|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Boshqa qurilish xizmatlari
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/fundamentnye-raboty|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Fundament
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/kladochnye-raboty|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / G'ish terish
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/krovelnye-raboty|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Tom yopish
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/pod-klyuch|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Umumiy qurilish, podklyuch
